feature	r2_score	cell_count_coef	siRNA_dose_contribution
Cytoplasm_AreaShape_Area	0.000608546892266304	-0.000987181782198826	0.010110397055753922
Cytoplasm_AreaShape_BoundingBoxArea	0.00045567652061473396	-0.0008467165291712225	0.19324435136387919
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0004902327031289788	0.0006417087323776534	0.3520982833577279
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	3.684079752286351e-05	0.00011698588733262005	0.1323710864260785
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0007566022894905933	0.0009674467592191871	0.2678788120931722
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	3.081623144307599e-05	0.00017983955959107955	0.07146611249632726
Cytoplasm_AreaShape_Center_X	0.0006056186411269593	0.000816851153925875	0.29658107419439916
Cytoplasm_AreaShape_Center_Y	2.520317961829388e-05	5.28703090273711e-05	0.1256558783286131
Cytoplasm_AreaShape_Compactness	0.001936206022476239	0.0015977617345453964	0.3595500368327805
Cytoplasm_AreaShape_ConvexArea	0.0001728395570872454	-0.00047911439779472256	0.20120082070950338
Cytoplasm_AreaShape_Eccentricity	3.706913075707252e-05	-0.00022756308033852074	0.08516139876136332
Cytoplasm_AreaShape_EquivalentDiameter	0.0005535136268622898	-0.0009467873816942087	0.042781844700195394
Cytoplasm_AreaShape_EulerNumber	4.9452013171635834e-05	-0.00028289185697140043	0.011956562252042438
Cytoplasm_AreaShape_Extent	0.00045491599413272077	-1.5025290223583865e-05	-0.574791041545024
Cytoplasm_AreaShape_FormFactor	0.0018603821931097997	-0.001591055251695521	-0.31417173420444583
Cytoplasm_AreaShape_MajorAxisLength	0.0006527530250329816	-0.00083501889823622	0.4894647067757912
Cytoplasm_AreaShape_MaxFeretDiameter	0.0006009879296985376	-0.0009547167598970666	0.27113678099918753
Cytoplasm_AreaShape_MaximumRadius	0.00018735742351982942	-0.0005065703097185221	-0.09702491128122277
Cytoplasm_AreaShape_MeanRadius	0.0007092769240337748	-0.0009455577475830834	-0.2477542328874062
Cytoplasm_AreaShape_MedianRadius	0.0013317882423040661	-0.0013258466220466298	-0.29711526696654306
Cytoplasm_AreaShape_MinFeretDiameter	1.2660895319815957e-05	-7.460641906133462e-05	0.08968172667041312
Cytoplasm_AreaShape_MinorAxisLength	0.00013508172450538147	-0.00045330410960058807	0.1269401060293931
Cytoplasm_AreaShape_Orientation	0.00040180436229719785	0.0006827532401288942	0.22229591516313157
Cytoplasm_AreaShape_Perimeter	0.00020792841341887858	0.0003842632894046548	0.2541293299906159
Cytoplasm_AreaShape_Solidity	0.001214077914015732	-0.0011260828164094078	-0.4512870377770668
Cytoplasm_AreaShape_Zernike_0_0	0.00021001065729098212	0.0001461141874025387	-0.39391624535846514
Cytoplasm_AreaShape_Zernike_1_1	3.8128638335077625e-05	-0.0002410948678336929	0.06681013027191661
Cytoplasm_AreaShape_Zernike_2_0	0.0004833131031053428	0.0002726237791569222	-0.5928166050484887
Cytoplasm_AreaShape_Zernike_2_2	0.00017954626055427525	-0.0004852056214241018	-0.11145556371275185
Cytoplasm_AreaShape_Zernike_3_1	0.00032827131560819733	0.0007290002842496506	-0.11473127741751903
Cytoplasm_AreaShape_Zernike_3_3	2.1424588773966136e-05	0.00018084168407849039	-0.04979555950964323
Cytoplasm_AreaShape_Zernike_4_0	2.9800860942508223e-05	-0.00017265927945560216	-0.07435118733655663
Cytoplasm_AreaShape_Zernike_4_2	5.938414418260596e-05	-0.0003110981323393299	0.02663780183789591
Cytoplasm_AreaShape_Zernike_4_4	4.2575138280653846e-05	-0.00012465016312118894	0.1678862058159815
Cytoplasm_AreaShape_Zernike_5_1	0.0005355774781098388	0.0005642206117519669	-0.5552943006681593
Cytoplasm_AreaShape_Zernike_5_3	3.454748723663581e-05	-0.00023207367393828394	-0.009948225769155189
Cytoplasm_AreaShape_Zernike_5_5	0.00013643464349200052	0.00044489121906975885	0.060092099721702576
Cytoplasm_AreaShape_Zernike_6_0	0.0005808112477353466	-8.614758536142512e-05	-0.6400600041829116
Cytoplasm_AreaShape_Zernike_6_2	0.0007242817196009277	0.00043319513202666883	-0.7105712306291946
Cytoplasm_AreaShape_Zernike_6_4	0.0005351934344874909	-0.0005709229229833398	0.5522558410763422
Cytoplasm_AreaShape_Zernike_6_6	5.2589870727204335e-05	-0.0002539514144592049	0.12312125800423393
Cytoplasm_AreaShape_Zernike_7_1	0.00020514369552571132	-2.7026501945896904e-05	-0.38392045712695333
Cytoplasm_AreaShape_Zernike_7_3	4.639966839625753e-05	6.078064087615862e-06	-0.1846469895849125
Cytoplasm_AreaShape_Zernike_7_5	0.00017455722293191478	0.0005082038617327326	-0.15976107198984293
Cytoplasm_AreaShape_Zernike_7_7	0.0005936895202376391	9.29245124311699e-05	0.646172795273168
Cytoplasm_AreaShape_Zernike_8_0	7.375226730388373e-05	0.00033922232176043625	-0.08231407592817219
Cytoplasm_AreaShape_Zernike_8_2	0.00022885574936892805	0.0003273189492150654	-0.37809788653883114
Cytoplasm_AreaShape_Zernike_8_4	2.3933848567692095e-05	-0.0001743114940597206	0.0797425081881135
Cytoplasm_AreaShape_Zernike_8_6	0.0001643671809876679	-0.0003413186836978185	0.29482652152102834
Cytoplasm_AreaShape_Zernike_8_8	0.0005339991403447986	0.0002792637468292238	0.5677753651413311
Cytoplasm_AreaShape_Zernike_9_1	0.00021897791617608853	-0.0005170493171469033	-0.14845873596747267
Cytoplasm_AreaShape_Zernike_9_3	0.0002595777300259394	0.00046304906766678894	-0.35240890724512935
Cytoplasm_AreaShape_Zernike_9_5	0.00022522910253530704	0.00013064313983896064	-0.4091699696156868
Cytoplasm_AreaShape_Zernike_9_7	0.0003627837005149015	-0.00010296328765912332	0.5204461219632076
Cytoplasm_AreaShape_Zernike_9_9	0.00012327065010975247	0.00019643721323593338	0.2499514934342139
Cytoplasm_Correlation_Correlation_CY5_DAPI	0.0018146522432294088	-0.0012292877325020138	0.9288814118638179
Cytoplasm_Correlation_Correlation_CY5_GFP	0.011055709468940522	-0.0041256232255687435	1.0862917431377592
Cytoplasm_Correlation_Correlation_CY5_RFP	0.004931177765163275	-0.0026028653472385936	1.0147006246839838
Cytoplasm_Correlation_Correlation_DAPI_GFP	0.002002797369330178	-0.001775771734204896	0.40290636058625673
Cytoplasm_Correlation_Correlation_DAPI_RFP	0.002118399858848985	-0.0017684927722183474	0.5603460104563976
Cytoplasm_Correlation_Correlation_GFP_RFP	0.0048036576037364664	-0.0026384591117710058	0.8900259890052771
Cytoplasm_Correlation_Costes_CY5_DAPI	0.002345059680604167	0.0010868063832030978	0.9786268184118357
Cytoplasm_Correlation_Costes_CY5_GFP	0.00021188275402339585	0.00037915818960621635	0.2624515110522068
Cytoplasm_Correlation_Costes_CY5_RFP	0.00020006390177629285	-7.683329395712481e-05	-0.371037577986041
Cytoplasm_Correlation_Costes_DAPI_CY5	0.008745292257566928	-0.003767019775680139	0.2025239835693164
Cytoplasm_Correlation_Costes_DAPI_GFP	0.037885970656642565	-0.007789670397404953	0.08247962581215476
Cytoplasm_Correlation_Costes_DAPI_RFP	0.0004210797546766454	-0.0006687138098351147	0.39471742092017154
Cytoplasm_Correlation_Costes_GFP_CY5	0.006364576387703602	-0.003220745404546051	0.3698891095003211
Cytoplasm_Correlation_Costes_GFP_DAPI	0.0011609424436965776	5.929860210568543e-06	0.9201754980240245
Cytoplasm_Correlation_Costes_GFP_RFP	6.890978951479276e-05	0.00032617668502764953	0.018911301599977507
Cytoplasm_Correlation_Costes_RFP_CY5	0.009967657678668473	-0.004031322776074134	0.4309385801209625
Cytoplasm_Correlation_Costes_RFP_DAPI	0.005768658896265544	-0.00042424587532526514	2.0754582953304697
Cytoplasm_Correlation_Costes_RFP_GFP	2.36759078382498e-05	0.00012398372507978512	-0.11447766012930002
Cytoplasm_Correlation_K_CY5_DAPI	0.023559424471371937	0.005936768112516395	0.5945167528302595
