feature	r2_score	cell_count_coef	HET_coef	Null_coef
Cytoplasm_AreaShape_Area	0.028678290269316342	-0.0021885256447564424	0.10534459097991222	-0.10534459097991221
Cytoplasm_AreaShape_BoundingBoxArea	0.03806859664830908	-0.0024280877093810103	0.12826829255352928	-0.12826829255352928
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0007385526503028705	-0.0004919837053432899	0.011873143906595447	-0.011873143906595445
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.002924545382998467	-0.0017358264313092088	-0.0059116019233898705	0.00591160192338987
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0004480450581737516	2.4624772815510235e-05	-0.021149231067861665	0.02114923106786166
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0003039171794674278	-0.0007483390653009453	-0.033414518901107464	0.03341451890110746
Cytoplasm_AreaShape_Center_X	2.0779282588589965e-05	-0.00022121823106322153	-0.004462903628796463	0.004462903628796462
Cytoplasm_AreaShape_Center_Y	0.0008305353923617753	-0.0012435135978316493	-0.01836234351182942	0.01836234351182942
Cytoplasm_AreaShape_Compactness	0.02266359622719838	0.0014247750742180916	0.19752495383788543	-0.1975249538378854
Cytoplasm_AreaShape_ConvexArea	0.04250515295531676	-0.002215201988419405	0.1479989121368261	-0.1479989121368261
Cytoplasm_AreaShape_Eccentricity	0.00032259946366530734	-0.00042424248125319476	0.004237952310292844	-0.004237952310292844
Cytoplasm_AreaShape_EquivalentDiameter	0.027052979383815567	-0.0025101726466663092	0.08809582666130454	-0.08809582666130453
Cytoplasm_AreaShape_EulerNumber	0.001304469907791539	-0.0018439397791158918	-0.061612725371151214	0.06161272537115121
Cytoplasm_AreaShape_Extent	0.006349159999606835	0.0007448572966790662	-0.0603491509361377	0.06034915093613768
Cytoplasm_AreaShape_FormFactor	0.012491087342414331	-0.0016031673641841383	-0.16210937389918717	0.16210937389918714
Cytoplasm_AreaShape_MajorAxisLength	0.02573441416790745	-0.002256391780037075	0.09820298075471526	-0.09820298075471524
Cytoplasm_AreaShape_MaxFeretDiameter	0.03134769007170035	-0.0024360748635844248	0.10623638904810531	-0.1062363890481053
Cytoplasm_AreaShape_MaximumRadius	0.017507209573629723	-0.002714969232651668	0.047778406302267956	-0.04777840630226795
Cytoplasm_AreaShape_MeanRadius	0.010975287896717534	-0.0029320728436067994	0.007963984773748647	-0.007963984773748645
Cytoplasm_AreaShape_MedianRadius	0.007339153067098203	-0.0027392320882320288	-0.007954470826910448	0.007954470826910448
Cytoplasm_AreaShape_MinFeretDiameter	0.022488305174972467	-0.0014542173476451527	0.11141584298762794	-0.11141584298762791
Cytoplasm_AreaShape_MinorAxisLength	0.0164472834275875	-0.0012554480219111655	0.09561006558845986	-0.09561006558845984
Cytoplasm_AreaShape_Orientation	0.0007523058524854243	0.0011637065523118903	0.016470154692014672	-0.01647015469201467
