feature	r2_score	cell_count_coef	HET_coef	WT_coef
Cytoplasm_AreaShape_Area	0.009853019830815213	-0.003548779158732509	0.05261311248455765	-0.052613112484557654
Cytoplasm_AreaShape_BoundingBoxArea	0.014112721660337613	-0.001710314012566846	0.11060145276921593	-0.11060145276921592
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00038968935574323904	0.0008371266798563634	0.022413688770645868	-0.022413688770645868
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.004862257333337228	-0.0019227301975509217	0.04376808413084203	-0.04376808413084203
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0006961656818877948	0.0010687360957172185	-0.009882193444307111	0.009882193444307113
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0014971704666845165	-0.0010221039430515634	0.024953339847606712	-0.024953339847606712
Cytoplasm_AreaShape_Center_X	0.00023007375126948837	0.0008962433881009527	0.004137676206143415	-0.004137676206143415
Cytoplasm_AreaShape_Center_Y	0.0031101608594010788	-0.0014136844488193247	0.036894562477539965	-0.036894562477539965
Cytoplasm_AreaShape_Compactness	0.0037957495433137423	0.003347670278503284	0.06926621660750269	-0.06926621660750269
Cytoplasm_AreaShape_ConvexArea	0.014917038584576825	-0.0018963866760397788	0.11059011775726227	-0.11059011775726227
Cytoplasm_AreaShape_Eccentricity	0.00047842299168743274	-0.0005782999996398382	0.01435767094077152	-0.01435767094077152
Cytoplasm_AreaShape_EquivalentDiameter	0.009724797705287336	-0.003493702073884597	0.05093225885426564	-0.05093225885426564
Cytoplasm_AreaShape_EulerNumber	0.0005903667365302345	-0.0015426262609689763	-0.019507158039674077	0.019507158039674077
Cytoplasm_AreaShape_Extent	0.0041516559907059936	-0.002124532544456616	-0.07645908520455977	0.07645908520455977
Cytoplasm_AreaShape_FormFactor	0.003888998958356593	-0.003703217395894243	-0.019032692136812194	0.019032692136812194
Cytoplasm_AreaShape_MajorAxisLength	0.015201688172293837	-0.0021008571020871163	0.1045570458586986	-0.10455704585869859
Cytoplasm_AreaShape_MaxFeretDiameter	0.01065413288810424	-0.0020466850640256367	0.08416509284467077	-0.08416509284467077
Cytoplasm_AreaShape_MaximumRadius	0.013712843090889937	-0.005058239801623034	0.0401665547068949	-0.0401665547068949
Cytoplasm_AreaShape_MeanRadius	0.0131815115868964	-0.005265888975512001	0.03056090290209315	-0.03056090290209315
Cytoplasm_AreaShape_MedianRadius	0.011399340139165215	-0.005104428452404534	0.02214019650884272	-0.02214019650884272
